prompt,response,status,Recommended food
How does Milk affect Kidney Disease?,"No, it is generally recommended to avoid or limit Milk if you have Kidney Disease. The main reason is that High in phosphorus/potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
Is Beetroot bad for Kidney Disease?,"No, it is generally recommended to avoid or limit Beetroot if you have Kidney Disease. The main reason is that High in potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
How does Celery affect Obesity?,"Yes, Celery is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Does Coconut worsen Potassium levels for people with Kidney Disease?,"No, it is generally recommended to avoid or limit Coconut if you have Kidney Disease. The main reason is that High in potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
Is Watermelon bad for Diabetes?,"No, it is generally recommended to avoid or limit Watermelon if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Should I avoid Granola if I have Diabetes?,"No, it is generally recommended to avoid or limit Granola if you have Diabetes. The main reason is that Refined carb, high GI.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Is Quesadillas bad for Obesity?,"No, it is generally recommended to avoid or limit Quesadillas if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
How does Chocolate affect Diabetes?,"No, it is generally recommended to avoid or limit Chocolate if you have Diabetes. The main reason is that Very high in sugar.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Can I eat Pumpkin seeds if I have Heart Disease?,"Yes, Pumpkin seeds is generally considered beneficial for managing Heart Disease. This is primarily because Rich in healthy fats.",Good,"Fatty fish (like salmon, provides healthy fats for a steady heartbeat), Walnuts and flaxseeds (also great for your heart), Olive oil (helps balance cholesterol), Berries (protect blood vessel linings), Whole grains (can lower bad cholesterol)"
Will eating Buckwheat help my Blood Glucose levels regarding Diabetes?,"Yes, Buckwheat is generally considered beneficial for managing Diabetes. This is primarily because High in fiber, complex carb.",Good,"Leafy greens (won't spike your blood sugar), Berries (healthy without raising blood sugar), Chia and flaxseeds (helps your body use insulin better), Lentils (provide steady, long-lasting energy), Cinnamon (may help keep blood sugar levels even)"
Does Chocolate worsen Blood Glucose levels for people with Diabetes?,"No, it is generally recommended to avoid or limit Chocolate if you have Diabetes. The main reason is that Very high in sugar.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
"Since I should avoid Pizza for Obesity, what is a good alternative?","Instead of Pizza, you might consider trying Recommended instead: Yam, Fennel, Mustard greens. It's often recommended as a better option for managing Obesity.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
What is the impact of eating Pumpkin seeds on Heart Disease?,"Yes, Pumpkin seeds is generally considered beneficial for managing Heart Disease. This is primarily because Rich in healthy fats.",Good,"Fatty fish (like salmon, provides healthy fats for a steady heartbeat), Walnuts and flaxseeds (also great for your heart), Olive oil (helps balance cholesterol), Berries (protect blood vessel linings), Whole grains (can lower bad cholesterol)"
What is the impact of eating Swiss chard on Obesity?,"Yes, Swiss chard is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Is Celery good for Obesity?,"Yes, Celery is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Is Dried apricot bad for Diabetes?,"No, it is generally recommended to avoid or limit Dried apricot if you have Diabetes. The main reason is that Very high concentrated sugar.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Will eating Yogurt help my BMI levels regarding Obesity?,"Yes, Yogurt is generally considered beneficial for managing Obesity. This is primarily because High protein, aids satiety.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Can I eat Asparagus if I have Obesity?,"Yes, Asparagus is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
What are the risks of eating Mustard sauce with Hypertension?,"No, it is generally recommended to avoid or limit Mustard sauce if you have Hypertension. The main reason is that High in sodium.",Avoid,"Avoid: Processed meats, canned soups, salty snacks (these are very high in sodium). Instead try: Baked sweet potatoes, unsalted nuts, or using fresh herbs for flavor."
"Since I should avoid Pineapple for Diabetes, what is a good alternative?","Instead of Pineapple, you might consider trying Recommended instead: Barley, Teff, Pear. It's often recommended as a better option for managing Diabetes.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Is Raspberry good for Diabetes?,"Yes, Raspberry is generally considered beneficial for managing Diabetes. This is primarily because High fiber, lower GI.",Good,"Leafy greens (won't spike your blood sugar), Berries (healthy without raising blood sugar), Chia and flaxseeds (helps your body use insulin better), Lentils (provide steady, long-lasting energy), Cinnamon (may help keep blood sugar levels even)"
How does Sunflower seeds affect Heart Disease?,"Yes, Sunflower seeds is generally considered beneficial for managing Heart Disease. This is primarily because Rich in healthy fats.",Good,"Fatty fish (like salmon, provides healthy fats for a steady heartbeat), Walnuts and flaxseeds (also great for your heart), Olive oil (helps balance cholesterol), Berries (protect blood vessel linings), Whole grains (can lower bad cholesterol)"
Is there any food I should absolutely avoid for Diabetes?,"No, it is generally recommended to avoid or limit Dried apricot if you have Diabetes. The main reason is that Very high concentrated sugar.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
What is the impact of eating Fonio on Diabetes?,"No, it is generally recommended to avoid or limit Fonio if you have Diabetes. The main reason is that Refined carb, high GI.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Tell me about Triticale and Diabetes.,"No, it is generally recommended to avoid or limit Triticale if you have Diabetes. The main reason is that Refined carb, high GI.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
How does Mulberry affect Diabetes?,"No, it is generally recommended to avoid or limit Mulberry if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Why is Cashew recommended for Heart Disease?,"Yes, Cashew is generally considered beneficial for managing Heart Disease. This is primarily because Rich in healthy fats.",Good,"Fatty fish (like salmon, provides healthy fats for a steady heartbeat), Walnuts and flaxseeds (also great for your heart), Olive oil (helps balance cholesterol), Berries (protect blood vessel linings), Whole grains (can lower bad cholesterol)"
Can I eat Spinach if I have Obesity?,"Yes, Spinach is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
"Since I should avoid Burger for Obesity, what is a good alternative?","Instead of Burger, you might consider trying Recommended instead: Onion, Green beans, Kale. It's often recommended as a better option for managing Obesity.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
How does Sesame seeds affect Heart Disease?,"Yes, Sesame seeds is generally considered beneficial for managing Heart Disease. This is primarily because Rich in healthy fats.",Good,"Fatty fish (like salmon, provides healthy fats for a steady heartbeat), Walnuts and flaxseeds (also great for your heart), Olive oil (helps balance cholesterol), Berries (protect blood vessel linings), Whole grains (can lower bad cholesterol)"
Why should I not eat Orange with Kidney Disease?,"No, it is generally recommended to avoid or limit Orange if you have Kidney Disease. The main reason is that High in potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
Is Wheat bad for Diabetes?,"No, it is generally recommended to avoid or limit Wheat if you have Diabetes. The main reason is that Refined carb, high GI.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Tell me about Pomegranate and Diabetes.,"No, it is generally recommended to avoid or limit Pomegranate if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Does French Fries worsen Blood Pressure levels for people with Hypertension?,"No, it is generally recommended to avoid or limit French Fries if you have Hypertension. The main reason is that High in sodium.",Avoid,"Avoid: Processed meats, canned soups, salty snacks (these are very high in sodium). Instead try: Baked sweet potatoes, unsalted nuts, or using fresh herbs for flavor."
Tell me about Cake and Diabetes.,"No, it is generally recommended to avoid or limit Cake if you have Diabetes. The main reason is that Very high in sugar.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Should I avoid Kebab if I have Hypertension?,"No, it is generally recommended to avoid or limit Kebab if you have Hypertension. The main reason is that High in sodium.",Avoid,"Avoid: Processed meats, canned soups, salty snacks (these are very high in sodium). Instead try: Baked sweet potatoes, unsalted nuts, or using fresh herbs for flavor."
How does Potato affect Obesity?,"Yes, Potato is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Will eating Sweet potato help my BMI levels regarding Obesity?,"Yes, Sweet potato is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Is there any food I should absolutely avoid for Diabetes?,"No, it is generally recommended to avoid or limit Grapes if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Should I avoid Milk if I have Kidney Disease?,"No, it is generally recommended to avoid or limit Milk if you have Kidney Disease. The main reason is that High in phosphorus/potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
Is Plum bad for Diabetes?,"No, it is generally recommended to avoid or limit Plum if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
What is the impact of eating Onion rings on Obesity?,"No, it is generally recommended to avoid or limit Onion rings if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
How does Tomato affect Kidney Disease?,"No, it is generally recommended to avoid or limit Tomato if you have Kidney Disease. The main reason is that High in potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
How does Shawarma affect Hypertension?,"No, it is generally recommended to avoid or limit Shawarma if you have Hypertension. The main reason is that High in sodium.",Avoid,"Avoid: Processed meats, canned soups, salty snacks (these are very high in sodium). Instead try: Baked sweet potatoes, unsalted nuts, or using fresh herbs for flavor."
Is French Fries bad for Hypertension?,"No, it is generally recommended to avoid or limit French Fries if you have Hypertension. The main reason is that High in sodium.",Avoid,"Avoid: Processed meats, canned soups, salty snacks (these are very high in sodium). Instead try: Baked sweet potatoes, unsalted nuts, or using fresh herbs for flavor."
What's a healthy food I can eat if I have Hypertension?,"Yes, Avocado is generally considered beneficial for managing Hypertension. This is primarily because High potassium.",Good,"Leafy greens (like spinach, which help balance salt levels), Berries (good for blood vessel health), Oats (helps manage cholesterol), Beetroot (helps relax blood vessels), Garlic (helps widen blood vessels for better flow)"
How does Brown rice affect Diabetes?,"Yes, Brown rice is generally considered beneficial for managing Diabetes. This is primarily because High in fiber, complex carb.",Good,"Leafy greens (won't spike your blood sugar), Berries (healthy without raising blood sugar), Chia and flaxseeds (helps your body use insulin better), Lentils (provide steady, long-lasting energy), Cinnamon (may help keep blood sugar levels even)"
Will eating Celery help my BMI levels regarding Obesity?,"Yes, Celery is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Does Tangerine worsen Blood Glucose levels for people with Diabetes?,"No, it is generally recommended to avoid or limit Tangerine if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Should I avoid Jelly if I have Diabetes?,"No, it is generally recommended to avoid or limit Jelly if you have Diabetes. The main reason is that Very high in sugar.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
"Since I should avoid Chicken wings for Obesity, what is a good alternative?","Instead of Chicken wings, you might consider trying Recommended instead: Yam, Ginger, Fenugreek leaves (methi). It's often recommended as a better option for managing Obesity.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
Tell me about Arugula and Obesity.,"Yes, Arugula is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Does Ice cream (soft serve) worsen BMI levels for people with Obesity?,"No, it is generally recommended to avoid or limit Ice cream (soft serve) if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
How does Loganberry affect Diabetes?,"No, it is generally recommended to avoid or limit Loganberry if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Should I avoid Gooseberry if I have Diabetes?,"No, it is generally recommended to avoid or limit Gooseberry if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Is Asparagus good for Obesity?,"Yes, Asparagus is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Tell me about Mulberry and Diabetes.,"No, it is generally recommended to avoid or limit Mulberry if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
How does Coconut affect Diabetes?,"No, it is generally recommended to avoid or limit Coconut if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
What are the risks of eating Rice with Diabetes?,"No, it is generally recommended to avoid or limit Rice if you have Diabetes. The main reason is that Refined carb, high GI.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Does Quesadillas worsen BMI levels for people with Obesity?,"No, it is generally recommended to avoid or limit Quesadillas if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
What is the impact of eating Shawarma on Obesity?,"No, it is generally recommended to avoid or limit Shawarma if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
How does Olives affect Diabetes?,"No, it is generally recommended to avoid or limit Olives if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
What's a healthy food I can eat if I have Heart Disease?,"Yes, Almond is generally considered beneficial for managing Heart Disease. This is primarily because Rich in healthy fats.",Good,"Fatty fish (like salmon, provides healthy fats for a steady heartbeat), Walnuts and flaxseeds (also great for your heart), Olive oil (helps balance cholesterol), Berries (protect blood vessel linings), Whole grains (can lower bad cholesterol)"
Is Tomato good for Obesity?,"Yes, Tomato is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
What is the impact of eating Fenugreek leaves (methi) on Obesity?,"Yes, Fenugreek leaves (methi) is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Should I avoid Dried mango if I have Diabetes?,"No, it is generally recommended to avoid or limit Dried mango if you have Diabetes. The main reason is that Very high concentrated sugar.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
What are the risks of eating Kebab with Hypertension?,"No, it is generally recommended to avoid or limit Kebab if you have Hypertension. The main reason is that High in sodium.",Avoid,"Avoid: Processed meats, canned soups, salty snacks (these are very high in sodium). Instead try: Baked sweet potatoes, unsalted nuts, or using fresh herbs for flavor."
Does Muffin worsen BMI levels for people with Obesity?,"No, it is generally recommended to avoid or limit Muffin if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
What are the risks of eating Olives with Diabetes?,"No, it is generally recommended to avoid or limit Olives if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Is Hazelnut good for Heart Disease?,"Yes, Hazelnut is generally considered beneficial for managing Heart Disease. This is primarily because Rich in healthy fats.",Good,"Fatty fish (like salmon, provides healthy fats for a steady heartbeat), Walnuts and flaxseeds (also great for your heart), Olive oil (helps balance cholesterol), Berries (protect blood vessel linings), Whole grains (can lower bad cholesterol)"
Will eating Amaranth help my Blood Glucose levels regarding Diabetes?,"Yes, Amaranth is generally considered beneficial for managing Diabetes. This is primarily because High in fiber, complex carb.",Good,"Leafy greens (won't spike your blood sugar), Berries (healthy without raising blood sugar), Chia and flaxseeds (helps your body use insulin better), Lentils (provide steady, long-lasting energy), Cinnamon (may help keep blood sugar levels even)"
Does Tamarind worsen Blood Glucose levels for people with Diabetes?,"No, it is generally recommended to avoid or limit Tamarind if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Why should I not eat Kebab with Obesity?,"No, it is generally recommended to avoid or limit Kebab if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
Is Candy bad for Diabetes?,"No, it is generally recommended to avoid or limit Candy if you have Diabetes. The main reason is that Very high in sugar.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
What is the impact of eating Hot dog on Obesity?,"No, it is generally recommended to avoid or limit Hot dog if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
Why is Bottle gourd recommended for Obesity?,"Yes, Bottle gourd is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Why is Avocado recommended for Hypertension?,"Yes, Avocado is generally considered beneficial for managing Hypertension. This is primarily because High potassium.",Good,"Leafy greens (like spinach, which help balance salt levels), Berries (good for blood vessel health), Oats (helps manage cholesterol), Beetroot (helps relax blood vessels), Garlic (helps widen blood vessels for better flow)"
Why should I not eat Waffles with Diabetes?,"No, it is generally recommended to avoid or limit Waffles if you have Diabetes. The main reason is that Very high in sugar.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Does Burrito worsen BMI levels for people with Obesity?,"No, it is generally recommended to avoid or limit Burrito if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
Is Yam bad for Kidney Disease?,"No, it is generally recommended to avoid or limit Yam if you have Kidney Disease. The main reason is that High in potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
How does Chia seeds affect Heart Disease?,"Yes, Chia seeds is generally considered beneficial for managing Heart Disease. This is primarily because Rich in healthy fats.",Good,"Fatty fish (like salmon, provides healthy fats for a steady heartbeat), Walnuts and flaxseeds (also great for your heart), Olive oil (helps balance cholesterol), Berries (protect blood vessel linings), Whole grains (can lower bad cholesterol)"
Is Popcorn bad for Obesity?,"No, it is generally recommended to avoid or limit Popcorn if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
Is Hot dog bad for Hypertension?,"No, it is generally recommended to avoid or limit Hot dog if you have Hypertension. The main reason is that High in sodium.",Avoid,"Avoid: Processed meats, canned soups, salty snacks (these are very high in sodium). Instead try: Baked sweet potatoes, unsalted nuts, or using fresh herbs for flavor."
How does Papaya affect Kidney Disease?,"No, it is generally recommended to avoid or limit Papaya if you have Kidney Disease. The main reason is that High in potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
How does Burger affect Obesity?,"No, it is generally recommended to avoid or limit Burger if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
Tell me about Banana and Diabetes.,"No, it is generally recommended to avoid or limit Banana if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
What is the impact of eating Sorghum (Jowar) on Diabetes?,"No, it is generally recommended to avoid or limit Sorghum (Jowar) if you have Diabetes. The main reason is that Refined carb, high GI.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Does Kale worsen Potassium levels for people with Kidney Disease?,"No, it is generally recommended to avoid or limit Kale if you have Kidney Disease. The main reason is that High in potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
Why is Apple recommended for Diabetes?,"Yes, Apple is generally considered beneficial for managing Diabetes. This is primarily because High fiber, lower GI.",Good,"Leafy greens (won't spike your blood sugar), Berries (healthy without raising blood sugar), Chia and flaxseeds (helps your body use insulin better), Lentils (provide steady, long-lasting energy), Cinnamon (may help keep blood sugar levels even)"
